    1    76.44354
    2    45.54924
    3    23.64478
    4    16.64010
    5    12.99634
    6     7.92196
    7     7.02671
    8     5.25573
    9     4.82532
   10     4.25886
   11     3.70529
   12     3.60681
   13     3.18299
   14     3.04467
   15     2.77233
   16     2.61076
   17     2.24977
   18     2.03008
   19     1.97980
   20     1.70310
   21     1.61199
   22     1.49685
   23     1.41638
   24     1.31977
   25     1.29484
   26     1.27315
   27     1.15602
   28     1.10431
   29     1.06269
   30     1.02001
   31     0.95811
   32     0.89312
   33     0.87757
   34     0.83638
   35     0.82479
   36     0.77139
   37     0.71817
   38     0.69642
   39     0.66038
   40     0.63935
