    1   228.88369
    2    57.23895
    3    32.31747
    4    30.94636
    5    18.30230
    6    15.43398
    7    12.33725
    8    11.84131
    9    10.55732
   10     8.88392
   11     6.48506
   12     5.49617
   13     4.69587
   14     4.59969
   15     4.09588
   16     3.85253
   17     3.48739
   18     3.21322
   19     3.01059
   20     2.77749
   21     2.52029
   22     2.42952
   23     2.22401
   24     2.10771
   25     1.94825
   26     1.74784
   27     1.68869
   28     1.57742
   29     1.46205
   30     1.38039
   31     1.33870
   32     1.29740
   33     1.19709
   34     1.18001
   35     1.11806
   36     1.07413
   37     1.03025
   38     0.97395
   39     0.93261
   40     0.89245
