    1   107.51582
    2    58.45837
    3    27.87872
    4    21.79310
    5    18.75049
    6    14.43681
    7    11.38244
    8     7.57141
    9     6.74458
   10     5.80259
   11     4.68696
   12     4.25078
   13     4.00543
   14     3.74572
   15     3.41330
   16     3.15665
   17     2.96698
   18     2.86819
   19     2.23636
   20     2.18542
   21     1.90668
   22     1.80402
   23     1.71106
   24     1.63454
   25     1.54147
   26     1.43698
   27     1.32927
   28     1.27053
   29     1.19389
   30     1.14279
   31     1.10849
   32     1.02915
   33     0.99373
   34     0.96481
   35     0.94702
   36     0.91568
   37     0.84310
   38     0.82647
   39     0.81641
   40     0.80063
