    1    42.39002
    2    21.38770
    3    15.95635
    4    10.75808
    5    10.36441
    6     8.21418
    7     5.62543
    8     4.73762
    9     4.15939
   10     3.55747
   11     3.32814
   12     2.94211
   13     2.76486
   14     2.54842
   15     2.37669
   16     2.32406
   17     2.04680
   18     1.74342
   19     1.70107
   20     1.56755
   21     1.46088
   22     1.37369
   23     1.30640
   24     1.26665
   25     1.22760
   26     1.09623
   27     1.07800
   28     1.04330
   29     0.96445
   30     0.91734
   31     0.89262
   32     0.84423
   33     0.78967
   34     0.73434
   35     0.72841
   36     0.70890
   37     0.67258
   38     0.65564
   39     0.62288
   40     0.59044
