    1    62.33133
    2    56.38394
    3    48.61734
    4    26.94442
    5    22.26709
    6    19.19667
    7    15.47455
    8    11.47245
    9     7.64675
   10     6.07728
   11     5.36722
   12     5.24199
   13     4.41255
   14     4.08830
   15     3.70798
   16     3.49820
   17     3.35307
   18     2.86542
   19     2.74677
   20     2.45527
   21     2.37058
   22     2.24250
   23     2.08927
   24     1.79819
   25     1.73443
   26     1.57121
   27     1.47387
   28     1.42362
   29     1.36783
   30     1.29887
   31     1.21268
   32     1.12111
   33     1.10500
   34     1.03387
   35     1.01224
   36     0.98997
   37     0.93304
   38     0.87649
   39     0.82720
   40     0.77044
